,ID,Category,Title,Description,Amenities,Location,guests,beds,bathrooms,Price_Night,Cleanliness_rating,Accuracy_rating,Communication_rating,Location_rating,Check-in_rating,Value_rating,amenities_count,url,bedrooms
510,32e78a5b-59b6-4d03-add7-8b5bd27adc73,Amazing pools,Fingals Green Oak Barn with shared swimming pool, One of a kind cozy hobbit house with hot tub.\nBeautiful setting offering you the ultimate getaway. 5 minutes from the village of Pawling with Metro North railway access.\n2 bedrooms w/ king size beds 2 bathrooms each with walk in shower. A queen size pull out couch in living room. Electric fireplace in living room.\nPerennial gardens 3 patios waterfall bbq grill 2 hammocks and 2 fire pits.\n**No children under 12.\n**No pets. (Due to allergies)\n**No parties.\nRing Quests upon request! The space The space\nOur house is a cozy private getaway.\nWe do not allow children under 12 for safety reasons.\nWe do not allow pets. (Due to allergies)\nWe also do not allow parties or smoking at the hobbit house. Other things to note Other things to note\nWe do have WiFi but access may be spotty due to our private location.,"['What this place offers', 'Scenic views', 'Garden view', 'Bathroom', 'Hair dryer', 'Shampoo', 'Hot water', 'Bedroom and laundry', 'Washing machine', 'Dryer', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Iron', 'Entertainment', 'TV', 'Family', 'Cot', 'Children’s books and toys', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Dishwasher', 'Stove', 'Oven', 'Coffee maker', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Private patio or balcony', 'Shared backyard – Not fully fenced', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Outdoor dining area', 'BBQ grill', 'Parking and facilities', 'Free parking on premises', 'Shared pool', 'Gym', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'This place may not have a carbon monoxide detector. Contact the host with any questions.']",Dittisham United Kingdom,6.0,4.0,2.5,191,4.4,4.8,4.9,4.8,4.7,4.6,38,https://www.airbnb.co.uk/rooms/23910895?adults=1&category_tag=Tag%3A677&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=0b044c1c-8d17-4b03-bffb-5de13ff710bc,3.0
511,c369a0be-3afa-409a-a578-3ee80432dde7,Amazing pools,"Pear Store cottage, rural location & indoor pool", We designed nature and unity as a motif for architecture and\nas a prototype to get out of the formalized framework.\nAnd to feel at ease in the world of sitting and watching\nWe decorated most of the space with cholesterol.\n\nLaSong is a thoughtfully constructed house that was designed and built for families to live\nin. In the last few years\nIt was time for Orot to feel it.\n\nNow we want to share the comfort and beauty of Jeju.\n\n\nStay easy.\n\n{Larson} The space The space\nThe warmth of Jeju LaSong designed a circular house in nature\nwith a main space with two bedrooms and another bedroom.\nIt consists of a separate space.\n\nBehind the building is a large lawn.\nOn Jejus natural stone villa in the middle of the yard a large pine tree\nTake your seats and represent LaSong.\nFeel the relaxation of the bay of Larson.\n\nThere were many spears and they were cast into the warm sun of Jeju and into the cool wind.\nYou can feel different exterior views from space to space.\nThe building is divided into a main residence and a spacious\ncool bamboo garden for a relaxing independent break. Other things to note Other things to note\nThe Lasong Open Memorial Discount Event (discounted accommodation fee of 100000 KRW) closes at midnight on December 31 2021.,"['What this place offers', 'Bathroom', 'Bath', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Hot water', 'Bedroom and laundry', 'Washing machine', 'Dryer', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Room-darkening shades', 'Iron', 'Clothes drying rack', 'Clothes storage: chest of drawers and wardrobe', 'Entertainment', 'TV with standard cable/satellite', 'Sound system', 'Family', 'High chair', 'Children’s tableware', 'Heating and cooling', 'Portable fans', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Stove', 'Oven', 'Kettle', 'Coffee maker', 'Wine glasses', 'Toaster', 'Barbecue utensils', 'Grill, charcoal, bamboo skewers/iron skewers, etc.', 'Dining table', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'BBQ grill', 'Parking and facilities', 'Free parking on premises', 'Shared indoor heated pool', 'Services', 'Self check-in', 'Lockbox', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Air conditioning\nAir conditioning']",Chichester West Sussex United Kingdom,4.0,3.0,1.0,69,5.0,5.0,5.0,5.0,5.0,4.8,48,https://www.airbnb.co.uk/rooms/6989886?adults=1&category_tag=Tag%3A677&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=0b044c1c-8d17-4b03-bffb-5de13ff710bc,2.0
512,d10e695f-0eda-4113-b384-2b9a8379eae0,Amazing pools,"Three Bedrooms With Own Pool, Isle of Wight", Old mill (walnut oil) restored by combining the modern with the charm of stone.\nThis 27m2 house is located in the upper part of Chinon not far from the royal fortress. Located 1.3km from the city centre (25min walk free lift) The space The space\nThe accommodation consists of an equipped kitchen (oven stove refrigerator dishwasher dolce gusto coffee maker coffee tea and basic condiments for cooking are available on site) living room with sofa bed and TV.\nIn the bathroom you will have access to a washing machine.\nThe bedroom is on a mezzanine level (accessed by a ladder) and has a double bed. Bed linen as well as sheets are provided.\nThe old mill has private parking as well as a terrace with barbecue for sunny days.\nThe accommodation can accommodate 2 people.\n\nThe cleaning is not included in the price you will have on site all the necessities to leave the accommodation in the same condition as when you arrived. If you dont want to do this you can book a cleaning service in advance for €50.Guest access\nAccess throughout the property private parking terrace,"['What this place offers', 'Bathroom', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Bedroom and laundry', 'Washing machine', 'Dryer', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Iron', 'Clothes drying rack', 'Clothes storage', 'Entertainment', 'TV', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Internet and office', 'Wifi', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Freezer', 'Dishwasher', 'Stove', 'Oven', 'Kettle', 'Coffee maker', 'Wine glasses', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Private patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Parking and facilities', 'Free parking on premises', 'Free on-street parking', 'Private pool', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Self check-in', 'Smart lock', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Air conditioning\nAir conditioning']",Isle of Wight England United Kingdom,6.0,1.0,2.0,236,5.0,4.5,4.7,4.3,4.7,4.2,43,https://www.airbnb.co.uk/rooms/48893158?adults=1&category_tag=Tag%3A677&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=0b044c1c-8d17-4b03-bffb-5de13ff710bc,3.0
513,f33cf99a-8067-40f8-8b80-76ed9f698b9b,Amazing pools,Cosy barn conversion with connecting indoor pool, Come experience TINY HOME living SILO STYLE on a family owned Missouri farm... complete with Nigerian Dwarf goats miniature donkey chickens and more.\nThe Silos at Prairie Vale are between Sedalia Missouri and the little town of Green Ridge Missouri. The farm is only about 12 miles from the Missouri State Fairgrounds in Sedalia and 2 1/2 miles on paved road from the Katy Trail. The space The space\nThe silo apartment has a full kitchen with a refrigerator microwave stove and some utensils/ pans. There is a kuerig coffee maker along with a selection of coffee tea or other beverage pods for you to enjoy. The silo has its own onsite bathroom with a shower linens and hairdryer for guests to use. There is a double bed in the loft and a futon that expands into a second double bed on the lower level. The silo will comfortably sleep four people. Please use caution as you ascend and descend the staircase. It was made to fit the space available and the steps have varying widths. Guest access Guest access\nGuest check-in is flexible. The silo will be open and ready for registered guests on their arrival. We live on the farm and are only a few yards away. Please do not hesitate to call on us for anything that you might need. We would love to visit with you. You are welcome to come to the farm house. Wendy LOVES tea so we have a coffee and tea bar in the kitchen. Wendy has every flavor of tea imaginable and she is always brewing a pot (coffee is available too) for anybody who wants to share one with her. We have a large library of movies for guests to borrow. Guests are welcome to sit on the patio or on the big wrap around porch and play with our outdoor farm cats (they are VERY FRIENDLY!)\nWe have several bikes that Katy Trail riders can rent for the day. We also have fishing poles that can be borrowed if fishing in the pond sounds fun. There is a fire pit by the pond that guests can use. We have roasting forks that can be borrowed...and probably the makings for smores...if our youngest daughter hasnt eaten all the Graham crackers.,"['What this place offers', 'Bathroom', 'Hair dryer', 'Hot water', 'Bedroom and laundry', 'Washing machine', 'Dryer', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Extra pillows and blankets', 'Entertainment', 'TV with standard cable/satellite', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Parking and facilities', 'Free parking on premises', 'Shared pool', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Host greets you', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Shampoo\nShampoo']",Somerset England United Kingdom,2.0,1.0,1.0,126,4.8,5.0,4.9,5.0,4.9,4.9,24,https://www.airbnb.co.uk/rooms/21388358?adults=1&category_tag=Tag%3A677&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-05-13&check_out=2022-05-20&previous_page_section_name=1000&federated_search_id=0b044c1c-8d17-4b03-bffb-5de13ff710bc,1.0
514,0a4339c8-eee2-40f1-b7d6-bb99248beb77,Amazing pools,Cottage with tennis court and pool, The StarsBOX® is located on the shores of Lago delle Portette at an altitude of 2388 meters in the heart of the Maritime Alps Natural Park. The access path starts at Terme di Valdieri and it takes about 3 hours to reach the StarsBOX®. Once you reach the E. Questa mountain refuge you will be welcomed by the Host Marco who will show you the way to reach your StarsBOX® just a few minutes away. The shelter near the StarsBOX® offers a kitchen and access to services. The space The space\nStarsBOX® strives to embody a lighter and more conscious way of experiencing nature thanks to its immersive design. StarsBOX® is more than just a shelter: it combines the concept of home with travel and represents a box of dreams where you can admire the stars and experience a fresh new dawn. Part tent and part hut it offers shelter but can open to the sky to reveal all the beauty nature has to offer. Guest access Guest access\nFrom the parking lot of Terme di Valdieri an hour-long hike along a dirt road leads to the Rifugio Valasco once a hunting fort of the kings of Italy. From here the road continues as a mule track up to an altitude of about 2000 meters where at a larch tree a path branches off to the left and leads to the E. Questa mountain refuge. The walk from the parking lot of Terme di Valdieri takes about 3 hours in total.\n\nFrom the larch tree it is also possible to continue on the mule track and reach the refuge with a less steep but longer path passing by the lower lake of Valscura; the walking time is about one hour longer.Other things to note\nMountain trails can be difficult for inexperienced hikers. Be sure to take a look at the trail before you begin your adventure and bring a printed map as cell phones may not work.,"['What this place offers', 'Bathroom', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Hot water', 'Shower gel', 'Bedroom and laundry', 'Washing machine', 'Dryer', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Cotton linen', 'Extra pillows and blankets', 'Iron', 'Clothes drying rack', 'Clothes storage: wardrobe', 'Entertainment', 'TV with standard cable/satellite', 'Ping pong table', 'Books and reading material', 'Family', 'Travel cot', 'High chair', 'Babysitter recommendations', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Dishwasher', 'Stove', 'Oven', 'Coffee maker', 'Location features', 'Lake access', 'Guests can get to a lake using a path or dock', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'Fire pit', 'Outdoor furniture', 'Outdoor dining area', 'BBQ grill', 'Parking and facilities', 'Free parking on premises', 'Shared pool', 'Single level home', 'No stairs in home', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Luggage drop-off allowed', ""For guests' convenience when they are arriving early or departing late"", 'Breakfast', 'Breakfast is provided', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Self check-in', 'Lockbox', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Air conditioning\nAir conditioning']",East Sussex England United Kingdom,4.0,3.0,1.0,143,4.9,5.0,5.0,5.0,5.0,4.9,54,https://www.airbnb.co.uk/rooms/16837583?adults=1&category_tag=Tag%3A677&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-04-22&check_out=2022-04-29&previous_page_section_name=1000&federated_search_id=0b044c1c-8d17-4b03-bffb-5de13ff710bc,2.0
515,c7f64b7d-2fc2-49db-82d2-14f6df0d9cea,Amazing pools,"Near Petworth, Cowdray Polo, Goodwood",nan,"['What this place offers', 'Bathroom', 'Hair dryer', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Iron', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Dishwasher', 'Stove', 'Oven', 'Location features', 'Beach access – Beachfront', 'Guests can enjoy a nearby beach', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Garden', 'An open space on the property usually covered in grass', 'Parking and facilities', 'Free parking on premises', 'Free on-street parking', 'Pool', 'Services', 'Pets allowed', 'Assistance animals are always allowed', 'Breakfast', 'Breakfast is provided', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Self check-in', 'Building staff', 'Someone is available 24 hours a day to let guests in', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: TV\nTV', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Carbon monoxide alarm\nCarbon monoxide alarm', 'There is no carbon monoxide detector on the property.', 'Unavailable: Shampoo\nShampoo']",Northchapel England United Kingdom,2.0,2.0,1.5,122,4.7,4.8,4.9,5.0,4.8,4.7,27,https://www.airbnb.co.uk/rooms/19745012?adults=1&category_tag=Tag%3A677&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-04-01&check_out=2022-04-08&previous_page_section_name=1000&federated_search_id=0b044c1c-8d17-4b03-bffb-5de13ff710bc,1.0
516,91e2d20a-589a-458b-a845-2d992a46327d,Amazing pools,quiet in Etretat, Ööd house is an ideal getaway for couples. Very isolated location with sea view creates a special kind of vibe. Great hiking trails or option to go horseback riding nearby offer plenty of opportunities for enjoying the scenic outdoors.\n\nWe are located an hour car drive away from Tallinn in a tiny seaside village called Alliklepa on the North coast of Estonia. Here you will find an ideal mix of lush forests with plenty of hiking trails or seaside with sandy beaches ideal for swimming. The space The space\nÖöd mirror house is one of the most unique experiences you can imagine for being one with nature while at the same time enjoying all the comforts of a tiny cabin. The 18 m2 house has full glass windows on three sides giving you a panoramic view to the surrounding nature straight from bed. The house has a comfy bed for two a fireplace remotely controlled floor and air heating systems water toilet a shower. Fully equipped tiny kitchen with refrigerator and a stove for cooking gives you the perfect opportunity to spend undisturbed time here without leaving to the city for days. Other things to note Other things to note\nMake sure you have enough food and drinks to fully enjoy your stay as the closest shop is 20min drive away. Tap water is perfectly drinkable.,"['What this place offers', 'Scenic views', 'Garden view', 'Bathroom', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Hot water', 'Shower gel', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Extra pillows and blankets', 'Iron', 'Entertainment', 'Ethernet connection', 'TV with standard cable/satellite', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Pocket wifi', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Mini fridge', 'Kettle', 'Coffee maker: pour-over coffee', 'Wine glasses', 'Toaster', 'Location features', 'Beach access – Beachfront', 'Guests can enjoy a nearby beach', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Private patio or balcony', 'Garden', 'An open space on the property usually covered in grass', 'Parking and facilities', 'Free parking on premises', 'Free on-street parking', 'Private pool', 'Private sauna', 'Gym', 'Services', 'Breakfast', 'Breakfast is provided', 'Self check-in', 'Building staff', 'Someone is available 24 hours a day to let guests in', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning']",Étretat Normandie France,2.0,1.0,1.0,83,4.9,4.9,5.0,4.9,5.0,4.8,41,https://www.airbnb.co.uk/rooms/17519855?adults=1&category_tag=Tag%3A677&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-07-16&check_out=2022-07-23&previous_page_section_name=1000&federated_search_id=0b044c1c-8d17-4b03-bffb-5de13ff710bc,1.0
517,d79dfb6e-6b78-41fb-8eab-91acfc38418c,Amazing pools,Luxury Lake Side Holiday Lodge Sleeps 4, Welcome to the Sypes Canyon Silos! This listing is for silo #2 on the right side. Located just 5 miles from downtown Bozeman 8 miles from Bozeman/Yellowstone Airport and 2 miles to the conveniences of Target Costco and other big box stores the Silos exude the quiet of the country life. Nestled at the base of a ridge in the Bridger foothills you have easy access to both Bozeman and the great outdoors.\n\nBridger Bowl-18mi\nBig Sky-48mi\nYellowstone-90mi The space The space\nWhats more unique than sleeping in a former grain silo? Cozy and eclectic this unit has all the comforts and conveniences you need to enjoy your time in Bozeman. Wifi Smart TV full kitchen washer/dryer. Please note that there is a short ladder to access the bedroom/loft space (imagine a 5 rung stair/ladder hybrid).\n\nThe silo on the left can be combined with this one.Guest access\nFull unit and patio hiking trails on 42 acre property fire pit visit with the animals!Other things to note\nPlease keep in mind that all beds are in the same space: 1 queen 1 full size sofa sleeper and 1 floor mattress that is actually a foam floor chair that flips into a single bed. Also the ceiling height in the bedroom is much lower near the walls. Please mind your head!,"['What this place offers', 'Scenic views', 'Lake view', 'Bathroom', 'Bath', 'Hair dryer', 'Cleaning products', 'Hot water', 'Shower gel', 'Bedroom and laundry', 'Free washer – In unit', 'Paid dryer – In building', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Extra pillows and blankets', 'Iron', 'Clothes drying rack', 'Safe', 'Clothes storage: wardrobe, walk-in wardrobe and chest of drawers', 'Entertainment', 'HDTV with Netflix', 'Heating and cooling', 'Indoor fireplace: electric', 'Ceiling fan', 'Portable fans', 'Central heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Freezer', 'Dishwasher', 'Stove', 'Stainless steel oven', 'Kettle', 'Coffee maker: filter coffee maker', 'Wine glasses', 'Toaster', 'Baking sheet', 'Coffee', 'Dining table', 'Location features', 'Waterfront', 'Right next to a body of water', 'Lake access', 'Guests can get to a lake using a path or dock', 'Private entrance', 'Separate street or building entrance', 'Launderette nearby', 'Outdoor', 'Private patio or balcony', 'Private backyard – Not fully fenced', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Outdoor dining area', 'Parking and facilities', 'Free parking on premises', 'Free on-street parking', 'Shared pool', 'Services', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Self check-in', 'Lockbox', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Air conditioning\nAir conditioning', 'Unavailable: Shampoo\nShampoo']",Great Billing England United Kingdom,4.0,3.0,1.0,102,5.0,5.0,5.0,4.9,5.0,4.8,57,https://www.airbnb.co.uk/rooms/34956620?adults=1&category_tag=Tag%3A677&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-26&check_out=2022-04-02&previous_page_section_name=1000&federated_search_id=0b044c1c-8d17-4b03-bffb-5de13ff710bc,2.0
518,b9ace4e9-5db5-40eb-b056-5b8e48065c8c,Amazing pools,Luxury 2 bedroom barn with pool and tennis court, Nesbitt is a land boat set in its own private garden overlooked by 3 donkeys. She has electricity full cooking toilet and showering facilities on board albeit all quite compact!\nIdeally suited for a couple or small family.\nA peaceful and quite getaway surrounded by animals trees & farmland just 10 mins drive from Kinsale and 5 mins from some fantastic beaches. An ideal base for exploring the south of Ireland. Somewhere quirky and different. Great for little ( & big) imaginations. The space The space\nNesbit is a 37ft land based boat. She was destined for the scrap heap but we completely transformed her over an 18 month period. Almost everything in her has been recycled. She is bright cosy and a funky little place to stay to enjoy the beautiful local countryside. She has full self-catering facilities. There is a bedroom with a triangular shaped double bed a galley kitchen with sink hob grill microwave kettle toaster and small fridge. The living space has a comfortable seating area with a table that converts to a single bed suitable for an adult. Also on board is a bijou bathroom/wetroom with toilet wash hand basin and electric shower.\nThe living space is all on one level. There is electric heating in the boat so it is suitable for winter living. There is a big private garden area with the boat with a picnic bench and sand pit. Guest access Guest access\nThe boat with its own private garden overlooked by donkeys\nand the occasional cow. There is an electric fence between the boat garden and donkey field and we would ask guests not to enter the field with the donkeys. Other things to note Other things to note\nNesbitt is available on a self catering basis only.\nThe table in the seating area converts to make a single bed.\nThe ceilings in parts of the boat are a little low.\nA travel cot is also available if you need one.\nWe are happy to accept a small to medium sized dog in the boat but we would be grateful if they did not sleep on the furniture and are kept on a lead at all times as we have donkeys cattle and free roaming hens in close proximity.,"['What this place offers', 'Scenic views', 'Valley view', 'Bathroom', 'Bath', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Hot water', 'Shower gel', 'Bedroom and laundry', 'Free washer – In unit', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Bed linen', 'Iron', 'Clothes drying rack', 'Clothes storage: chest of drawers and wardrobe', 'Entertainment', 'TV with standard cable/satellite', 'Books and reading material', 'Family', 'Travel cot', 'Children’s books and toys', 'High chair', 'Children’s tableware', 'Plug socket covers', 'Heating and cooling', 'Indoor fireplace', 'Portable fans', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Dishes and silverware', 'Bowls, chopsticks, plates, cups, etc.', 'Freezer', 'Dishwasher', 'Stove', 'Oven', 'Kettle', 'Wine glasses', 'Toaster', 'Baking sheet', 'Barbecue utensils', 'Grill, charcoal, bamboo skewers/iron skewers, etc.', 'Dining table', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Outdoor', 'Private patio or balcony', 'Shared backyard – Not fully fenced', 'An open space on the property usually covered in grass', 'Outdoor furniture', 'Outdoor dining area', 'BBQ grill', 'Beach essentials', 'Beach towels, umbrella, beach blanket, snorkelling gear', 'Parking and facilities', 'Free parking on premises', 'Free on-street parking', 'Shared pool', 'Services', 'Self check-in', 'Lockbox', 'Long-term stays allowed', 'Allow stays of 28 days or more', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Air conditioning\nAir conditioning']",Bremhill Wiltshire United Kingdom,4.0,3.0,1.0,86,4.9,4.9,5.0,4.9,5.0,4.9,58,https://www.airbnb.co.uk/rooms/3642412?adults=1&category_tag=Tag%3A677&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-25&check_out=2022-04-01&previous_page_section_name=1000&federated_search_id=0b044c1c-8d17-4b03-bffb-5de13ff710bc,2.0
519,26e39a4f-4861-49a6-8982-69774d519923,Amazing pools,Squirrel’s Den, We are situated near I-70 and Dillon State Park Blackhand Gorge and The Wilds. Bald Eagle Deer Turkey Rabbit Squirrels are in the area.Theres golf wineries and breweries nearby. Youll love the coziness and privacy of the place. This place is good for couples solo adventurers and business travelers. The space The space\nThis is new and a very unique private place! Weve repurposed a round metal corn bin into a cozy Kabin. Designed for quiet cheerful cozy nice beds Great tub shower fully equipped kitchen Direct tv and wifi with easy freeway access. Guest access Guest access\nLiving room bedrooms kitchen bathroom and recreation room. Other things to note Other things to note\nHiking biking canoeingbird watching forest bathing and\nstar gazing,"['What this place offers', 'Bathroom', 'Hair dryer', 'Shampoo', 'Hot water', 'Bedroom and laundry', 'Essentials', 'Towels, bed sheets, soap and toilet paper', 'Hangers', 'Iron', 'Entertainment', 'TV', 'Heating and cooling', 'Heating', 'Home safety', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Internet and office', 'Wifi', 'Dedicated workspace', 'A desk or table with a chair and space for a laptop.', 'Kitchen and dining', 'Refrigerator', 'Location features', 'Private entrance', 'Separate street or building entrance', 'Parking and facilities', 'Free parking on premises', 'Private pool', 'Services', 'Breakfast', 'Breakfast is provided', 'Not included', 'Unavailable: Security cameras on property\nSecurity cameras on property', 'Unavailable: Kitchen\nKitchen', 'Unavailable: Washing machine\nWashing machine', 'Unavailable: Air conditioning\nAir conditioning']",Longworth  Oxfordshire United Kingdom,2.0,1.0,1.0,120,4.8,4.9,4.6,4.8,4.7,4.6,18,https://www.airbnb.co.uk/rooms/32119804?adults=1&category_tag=Tag%3A677&children=0&infants=0&search_mode=flex_destinations_search&check_in=2022-03-18&check_out=2022-03-25&previous_page_section_name=1000&federated_search_id=0b044c1c-8d17-4b03-bffb-5de13ff710bc,1.0
